	0 wall	1 wall	2 wall
60	0	1	0
58	0	0	1
55	0	1	1
54	0	1	3
53	0	1	2
52	0	1	1
51	1	0	1
50	1	5	2
49	4	3	3
48	3	4	7
47	4	7	5
46	9	5	8
45	8	14	6
44	15	20	23
43	16	24	23
42	25	37	30
41	30	37	32
40	25	68	49
39	38	74	97
38	47	90	109
37	70	154	149
36	84	175	229
35	114	264	276
34	126	366	369
33	176	446	438
32	224	600	637
31	316	775	747
30	391	1037	1039
29	586	1504	1472
28	748	1997	2007
27	995	2715	2869
26	1323	3654	3776
25	1792	5013	5329
24	2370	6692	7320
23	3280	8969	9723
22	4212	12180	12962
21	5584	16026	16923
20	7151	20954	22260
19	9086	26972	28819
18	11643	34107	36716
17	14696	42370	45675
16	19192	51455	54235
15	24407	61591	63461
14	31534	74987	73700
13	41957	93560	85659
12	53381	115275	99212
11	61984	130696	107066
10	59777	129736	104594
9	48301	109461	88545
8	34032	79341	62849
7	21266	48435	36031
6	10629	21261	13519
5	3561	5503	2586
4	767	786	201
3	128	48	0
2	8	0	0
1	1	0	0
